AddressID,Line1,Line2,Line3,County,Postcode,Country
234200,Consilium UK Ltd,Suite 1010 Mile End Mill   Abbey Mill Business Centre   12 Seedhill Road  ,Paisley,-,PA1 1JS,UK
234201,CRL Management Ltd,2 derryvolgie avenue Belfast,N Ireland,-,BT9 6FL,UK
234202,Custom Connect BV,Attn.: Finance Department Krijn Taconiskade 428 1087 HW Amsterdam  ,Netherlands,-,-,UK
234203,D2 Network Associates Limited,Lymedale Business Centre Hooters Hall Road,Newcastle Under Lyme,Staffordshire,ST5 9QF,UK
234204,Anderson IT Management,894a Woodborough Road Mapplerly ,Nottingham,Notts,NG3 5QR,UK
234205,Digital-I Limited,3 Viney Court Viney Street Taunton ,Somerset,.,TA1 3FB,UK
234206,Discus Systems plc,Patrick Farm Barns Meriden Road Hampton-in-Arden,Solihull,-,B92 0LT,UK
234207,DLRC,DLRC Ltd  1 Amor Way   Dunhams Lane   Letchworth Garden City ,Hertfordshire,.,SG6 1UG,UK
234208,Domainmaster Limited,27 Attimore Road Welwyn Garden City,Welwyn Garden City,Hertfordshire,AL8 6LQ,UK
234209,DoubleEdge Professional Services Limited,5th Floor Paxton House 30 Artillery Lane,London,-,E1 7LS,UK
234210,Draw & Code Limited,The Flying Picket 24-28 Hardman Street ,Liverpool,Merseyside,L1 9AX,UK
234211,Pearson Shared Services,Attention:  Rose Tomsett / Jaymie Lee Tapsell PO Box 229 11 Caxton Hill,Hertford,Hertfordshire,SG13 7NE,UK
234212,Edmond De Rothchild (UK) Limited,4 Carlton Gardens,London,,SW1Y 5AA,UK
234213,EGS (International) Limited,27 Woolmer Way Bordon ,Hampshire,.,GU35 9QE,UK
234214,Elap Engineering Limited,Elap House Fort Street ,Accrington,Lancashire,BB5 1QG,UK
234215,1st Floor,32 Great Peter Street,London,.,SW1P 2DB,UK
234216,The Locks,Belton Road West Extension,Loughborough,..,LE11 5XH,UK
234217,Fit for Sport,Profile West 950 Great West Road,Brentford,Middlesex,TW8 9ES,UK
234218,Focus Learning Trust HQ,Exchange Place,Poseidon Way,Warwick,CV34 6BY,UK
234219,Focus Multimedia Limited,The Studios Lea Hall Enterprise Park Wheel House Road,Rugeley,Staffordshire,WS15 1LH,UK
234220,FS Mackenzie Limited,Unit 7 Lakeside Estates,Colnbrook,Berkshire,SL3 0ED,UK
234221,Garbe London Limited,4th Floor Finsbury Square ,London,London,EC2A 1DS,UK
234222,Ge-Mac Systems Limited,8 Hammond Road Elms Industrial Estate,Bedford,Bedfordshire,MK41 0RJ,UK
234223,Goldfield Computing Limited,Unit 8 Griffin House 24 The Station Road ,Morley,-,LS27 8JW,UK
234224,The Great Ropemaker Partnership Limited,240 Blackfriars Road ,London,-,SE1 8NW,UK
234225,Griffiths and Nielson Limited,Maydwell Avenue  off Stane Street Slinfold,Horsham,West Sussex,RH13 0GN,UK
234226,Headoffice3.com,Cartelli House Arthur Street,Leeds,-,LS28 6JY,UK
234227,TNG Consulting Engineers Limited,31 Carlton Crescent ,Southampton,,SO15 2EW,UK
234228,WorkPlaceLive Ltd,Davis House High Street  ,Croydon,-,CR0 1QE,UK
234229,Horsebridge Network Systems Limited,Staverton Technology Park  Cheltenham Road  ,Staverton,Cheltenham,GL51 6TQ,UK
234230,HotDocs Limted,14 South Charlotte Street,Edinburgh,-,EH2 4AX,UK
234231,Houndiscombe Consultants Limited,6 Houndiscombe Road,Plymouth,Devon,PL4 6HH,UK
234232,Hyde Park Bathrooms Limited,30 Baker Street ,London,.,W1U 3ER,UK
234233,iCT4 Limited,Pool Innovation Centre Trevenson Road Pool,Redruth,-,TR15 3PL,UK
234234,IntaCloud Ltd,1 Fore Street,Moorgate,London,EC2Y 9DT,UK
234235,International Society For Krishna Consciousness,Bhakivedanta Manor Hilfield Lane,Watford,Hertfordhsire,WD25 8EZ,UK
234236,Intralan Group Limited,Unit 12 Epsom Business Park Kiln Lane Surrey,-,-,KT17 1JF,UK
234237,J.J. Churchill Limited,Station Road Market Bosworth ,Nuneaton,-,CV13 0PF,UK
234238,John Perkins Construction Ltd,22 Dragon Court Crofts End Road,.,Bristol,BS5 7XX,UK
234239,Josef Weinberger Limited,12-14 Mortimer Street,London,-,W1T 3JJ,UK
234240,JSCom Ltd,Church Farm Hawthorn Road Wheaton Aston Stafford ,,,ST19 9NG,UK
234241,JW Media Music Limited,4/5 North Mews,..,London,WC1N 2JP,UK
234242,Label Express Limited,8 Bath House Road Croydon,Surrey,##,CR0 4TT,UK
234243,Lancehawk Limited,11A Regent Street East Briton Ferry,Neath,.,SA11 2RR,UK
234244,London Guards Hotel Limited,36-37 Lancaster Gate,London,//,W2 3NA,UK
234245,Lee Warren Fab & Design,Units 6-8 Silverdale Road Ind. Estate  Silverdale Road ,Hayes,Middlesex,UB3 3BL,UK
234246,Lemon Groundwork Solutions Ltd,Russel Gardens Wickford,Essex,.,SS11 8BH,UK
234247,Lifeways Finance Ltd (Capex),56 Southwark Bridge Road,London,-,SE1  0AS,UK
234248,Lifeways Finance Limited,56 Southwark Bridge Road,London,-,SE1 0AS,UK
234249,Lime Street Solutions Limited,25 Lime Street,London,-,EC3M 7HS,UK
234250,London Stone Paving Limited,Berkshire Garden Centre Sutton Lane,Langley,-,SL3 8AH,UK
234251,Marlborough Information Services Ltd,1st Floor 4 Kinsbourne Court 96-100 Luton Road ,Harpenden,-,AL5 3BL,UK
234252,MatOrtho Limited,Unit 19-20 Mole Business Park Randalls Road ,-,Surrey,KT22 7BA,UK
234253,McParland & Partners Ltd,Finance House Kenyon Road,Nelson,Lancashire,BB9 5SP,UK
234254,Mendip Media Ltd.,Unit 23 & 24 Barnack Trading Estate ,Bedminster,Bristol,BS3 5QE,UK
234255,The Mustard Seed Market,Linton Park Campus,Heathroad,Maidstone,ME17 4HT,UK
234256,Natterbox Ltd,Natterbox Limited No 1 Croydon 12-16 Addiscombe Road ,Croydon,Surrey,CR0 0XT,UK
234257,Saffron Court,14b Cross Street,London,London,EC1N 8XA,UK
234258,Valis IT Limited ,78 York Street  ,London,London,W1H 1DP,UK
234259,Netshield Project Solutions,Enterprise House Shenstone Drive  ,Aldridge,-,WS8 8TP,UK
234260,Neurotechnics Ltd,Cepahlon House 8 Manor Business Park Banbury  ,Oxen,.,OX16 3TB,UK
234261,Nexus Open Systems Ltd,Vale House  Pynes Hill  Rydon Lane,Exeter,Devon,EX2 5AZ,UK
234262,Niche Client Services Limited,33/41  Thamesgate House Victoria Avenue ,Southend,Essex,SS2 6DF,UK
234263,Gene Commerce Ltd,39-42 East Street,Brighton,Sussex,BN1 1HL,UK
234264,Nutbourne Limited,1-13 Stratford Office Village,London,-,E15 4BZ,UK
234265,Oakhill Education Trust,13 Parkhurst Road,Horley,Surrey,RH6 8EU,UK
234266,Oaklands Farm Eggs Limited,Ellerdine Grange Ellerdine,Telford,Shropshire,TF6 6QR,UK
234267,Omega Travel Limited,Omega Mansion Boundary Place 2 Milburn Avenue ,Milton Keynes,Buckinghamshire,MK6 2WA,UK
234268,Paul Avins Enterprises Limited,Prospect House Fringford Road   Caversfield,Bicester,Oxfordshire,OX27 8TH,UK
234269,Pervasive Networks Limited,Newbury Business Park London Road,Newbury,Berkshire ,RG14 2PZ,UK
234270,Peter Bailey (London) LLP,2 Devonshire Mews West,London,.,W1G 6QE,UK
234271,Petrol Communications Ltd,18 Haythorpe Close Downhead Park Milton Keynes ,Bucks,.,MK15 9DD,UK
234272,Nuffield Health Business Centre,PO Box 884 Foxhall Road Ipswich ,Ipswich,Suffolk,IP1 9NN,UK
234273,Playgolf Management Ltd.,Riverside Avenue Christchurch,Bournemouth,-,BH7 7ES,UK
234274,Prime & Modern Limited,Kingway House 103 Kingsway,London,London,WC2B 6QX,UK
234275,Red Matter Ltd,No 1 Croydon   12-16 Addiscombe Road   , ,Croydon,CR0 0XT,UK
234276,R H McCall & Son,Wootton Park Farm Alcester Road Wootton Wawen ,Henley-in-Arden,-,B95 6HJ,UK
234277,Roots and Bulbs Limited,10-12 Exhibition Road  South Kensington ,London,..,SW7 2HF,UK
234278,RTI Advanced Forming,Watchmead Welwyn Garden City ,Hertfordshire,-,AL7 1LT,UK
234279,Saphire Computers Limited,Unit 2  Marine Trades Centre Harbour Road ,Gosport,Hampshire,PO12 1BG,UK
234280,Computer Solutions/Sarova hotels,19 Queensdale Place ,London,-,W11 4SQ,UK
234281,SETEL Limited,68-70  Queen Victoria Street,London,-,EC4N 4SJ,UK
234282,SGW Europe Limited,11D Branch Place  ,London,London,N1 5PH,UK
234283,SHG Systems,7-9 Spring Street Place,Bedminister,Bristol,BS3 4AF,UK
234284,Shield Environmental Services Limited,Shield House   Caxton Business Park,-,Bristol,BS30 8XJ,UK
234285,Signet Seals,Innovation House Bakewell Road Orton Southgate,Peterborough,..,PE2 6XU,UK
234286,Sir Christopher Wren Hotel & Spa,Sarova Hotels 19 Queensdale Place,London,-,W11 4SQ,UK
234287,FOS,Unit 6C Woodside Commercial Estate Epping ,Essex,,CM16 6LJ,UK
234288,Softlink Solutions Ltd,417 Baddow Road,Chelmsford,Essex,CM2 7QL,UK
234289,Solution Builders Limited,20 Bailey Lane,Manchester,Greater Manchester,M90 4AN,UK
234290,Somerbond Limited,Units 8-10 Edge Business Centre Humber Road ,London,.,NW2 6EW,UK
234291,Southampton Cargo Handling Limited,Pathfinder House Maritime Way  Eastern Docks Southampton ,Hampshire,.,SO14 3AE,UK
234292,Southern Record Distributors Limited,70 Lawrence Road,London,-,N15 4EG,UK
234293,Stayinfront (UK) Limited,1st Floor  Thame House Castle Street,High Wycombe,Bucks,HP13 6TQ,UK
234294,Stratos Technology Limited,41 Whitehall House,London,London,SW1A 2BY,UK
234295,Support On The Spot,Portsmouth Technopole,Portsmouth,Hampshire,PO2 8FA,UK
234296,Synergy Agency Limited,Courtyard 3  Coleshill Manor Coleshill,Birmingham,West Midlands,B46 1DL,UK
234297,Songkarn Limited T/A Adini,891 Great West Road,Isleworth,Middlesex,TW7 5PD,UK
234298,TCS Screeding Limited,Unit One Whiffens Farm Clement Street Hextable,Sutton at Hone,Kent,BR8 7PQ,UK
234299,Tekkers IT Solutions Limited,Furzehall Farm Wickham Road Fareham  , Hants, , PO16 7JH,UK
234300,Television Communications Limited,34 Great Pulteney Street ,London,London,W1F 9NP,UK
