CustomerID,AccountNumber,Company,AddressID
234200,CONSIL,Consilium UK Ltd,234200
234201,CRL,CRL Management Ltd,234201
234202,CUSTOMCO,Custom Connect BV,234202
234203,D2NET,D2 Network Associates Limited,234203
234204,DCANDER,Anderson IT Management,234204
234205,DIGITAL,Digital-I Limited,234205
234206,DISCUSSY,Discus Systems plc,234206
234207,DLRC,DLRC,234207
234208,DOMAINMA,Domainmaster Limited,234208
234209,DOUBLEED,DoubleEdge Professional Services Limited,234209
234210,DRAW,Draw & Code Limited,234210
234211,GCI01137,Pearson Shared Services,234211
234212,EDMONDDE,Edmond De Rothchild (UK) Limited,234212
234213,EGSINTER,EGS (International) Limited,234213
234214,ELAPENGI,Elap Engineering Limited,234214
234215,ELLANDI,Ellandi Management Limited,234215
234216,EVENT,Event Engineering Ltd,234216
234217,FITFORSP,Fit for Sport,234217
234218,FOCUS,Focus Learning Trust HQ,234218
234219,FOCUSMUL,Focus Multimedia Limited,234219
234220,FSMACKEN,FS Mackenzie Limited,234220
234221,GARBE,Garbe London Limited,234221
234222,GEMACSYS,Ge-Mac Systems Limited,234222
234223,GOLDFIEL,Goldfield Computing Limited,234223
234224,GREAT,The Great Ropemaker Partnership Limited,234224
234225,GRIFFITH,Griffiths and Nielson Limited,234225
234226,HEADOFFI,Headoffice3.com,234226
234227,HENDERSO,TNG Consulting Engineers Limited,234227
234228,HORIZON,WorkPlaceLive Ltd,234228
234229,HORSEBRI,Horsebridge Network Systems Limited,234229
234230,HOTDOCSL,HotDocs Limted,234230
234231,HOUNDISC,Houndiscombe Consultants Limited,234231
234232,HYDEPARK,Hyde Park Bathrooms Limited,234232
234233,ICT,iCT4 Limited,234233
234234,INTACLOU,IntaCloud Ltd,234234
234235,INTERNAT,International Society For Krishna Consciousness,234235
234236,INTRALAN,Intralan Group Limited,234236
234237,JJCHURCH,J.J. Churchill Limited,234237
234238,JOHNPERK,John Perkins Construction Ltd,234238
234239,JOSEFWEI,Josef Weinberger Limited,234239
234240,JSCOM,JSCom Ltd,234240
234241,JWMEDIAM,JW Media Music Limited,234241
234242,LABELEXP,Label Express Limited,234242
234243,LANCE,Lancehawk Limited,234243
234244,LDNGUARD,London Guards Hotel Limited,234244
234245,LEE,Lee Warren Fab & Design,234245
234246,LEMONGRO,Lemon Groundwork Solutions Ltd,234246
234247,LIFECAPX,Lifeways Finance Ltd (Capex),234247
234248,LIFEWAYS,Lifeways Finance Limited,234248
234249,LIMESTRE,Lime Street Solutions Limited,234249
234250,Londonst,London Stone Paving Limited,234250
234251,MARLBORO,Marlborough Information Services Ltd,234251
234252,MATORTHO,MatOrtho Limited,234252
234253,MCPARLAN,McParland & Partners Ltd,234253
234254,MENDIP,Mendip Media Ltd.,234254
234255,MUSTARDS,The Mustard Seed Market,234255
234256,NATTER,Natterbox Ltd,234256
234257,NCPLTD,National Car Parks Ltd,234257
234258,NEOERA,Valis IT Limited ,234258
234259,NETPROJ,Netshield Project Solutions,234259
234260,NEURO,Neurotechnics Ltd,234260
234261,NEXUSOPE,Nexus Open Systems Ltd,234261
234262,NICHE,Niche Client Services Limited,234262
234263,NIXON,Gene Commerce Ltd,234263
234264,NUTBOURN,Nutbourne Limited,234264
234265,OAKHILLE,Oakhill Education Trust,234265
234266,OAKLANDS,Oaklands Farm Eggs Limited,234266
234267,OMEGA1,Omega Travel Limited,234267
234268,PAULAVIN,Paul Avins Enterprises Limited,234268
234269,PERVASIV,Pervasive Networks Limited,234269
234270,PETERBAI,Peter Bailey (London) LLP,234270
234271,PETROL,Petrol Communications Ltd,234271
234272,PLAYGATE,Nuffield Health Business Centre,234272
234273,PLAYGOLF,Playgolf Management Ltd.,234273
234274,PRIME,Prime & Modern Limited,234274
234275,REDMATTE,Red Matter Ltd,234275
234276,RHMCCALL,R H McCall & Son,234276
234277,ROOTS,Roots and Bulbs Limited,234277
234278,RTIADVAN,RTI Advanced Forming,234278
234279,SAPHIRE,Saphire Computers Limited,234279
234280,SAROVA,Computer Solutions/Sarova hotels,234280
234281,SETEL,SETEL Limited,234281
234282,SGWEUROP,SGW Europe Limited,234282
234283,SHGSYS,SHG Systems,234283
234284,SHIELDEN,Shield Environmental Services Limited,234284
234285,SIGNETSE,Signet Seals,234285
234286,SIRCHRIS,Sir Christopher Wren Hotel & Spa,234286
234287,SKYLINE,FOS,234287
234288,SOFTLINK,Softlink Solutions Ltd,234288
234289,SOLUTION,Solution Builders Limited,234289
234290,SOMERBON,Somerbond Limited,234290
234291,SOUTHAMP,Southampton Cargo Handling Limited,234291
234292,SOUTHERN,Southern Record Distributors Limited,234292
234293,STAYIN,Stayinfront (UK) Limited,234293
234294,STRATOST,Stratos Technology Limited,234294
234295,SUPPOR,Support On The Spot,234295
234296,SYNERGYA,Synergy Agency Limited,234296
234297,Songkarn,Songkarn Limited T/A Adini,234297
234298,TCSSCREE,TCS Screeding Limited,234298
234299,TEKKERSI,Tekkers IT Solutions Limited,234299
234300,TELEVISI,Television Communications Limited,234300
