CustomerProductChargeID,CustomerID,AccountNumber,BillingReferenceID,ProductID,DefaultProductDescription,ChargeInstanceDescription,ChargeQuantity,ProductChargeFrequencyID,UnitCostToGCI,UnitChargeToCustomer,ChargeTaxTypeFlag,ChargeStartDate,ChargeEndDate,ChargeBilledUntil,AllowCreditBackFlag,CustomerCustomReference,ChargeInstanceCreateDate,ChargeInstanceCreateUser
606360,234247,LIFECAPX,1708955,5488,TempProductDuringCleanUp,PSTN Install,1,0,52.79,200.00,1,2016-11-01 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 11:51:47.223,GCICOM\bmanager
606362,234247,LIFECAPX,1708955,5488,TempProductDuringCleanUp,ADSL Install,1,0,195.00,195.00,1,2016-11-01 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 11:51:50.280,GCICOM\bmanager
597305,234247,LIFECAPX,1685937,5488,TempProductDuringCleanUp,ADSL2Plus Premium Install,1,0,0.00,120.00,1,2016-07-08 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:31:54.770,GCICOM\astanton
597306,234247,LIFECAPX,1685937,5488,TempProductDuringCleanUp,PSTN Install,1,0,52.79,200.00,1,2016-07-08 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:31:54.867,GCICOM\astanton
597307,234247,LIFECAPX,1685937,5488,TempProductDuringCleanUp,Managed Hardware Install,1,0,172.00,195.00,1,2016-07-08 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:31:54.950,GCICOM\astanton
597350,234247,LIFECAPX,1685940,5488,TempProductDuringCleanUp,PSTN (Inc.Voice),1,0,52.79,100.00,1,2016-07-14 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 12:28:56.083,GCICOM\astanton
597351,234247,LIFECAPX,1685940,5488,TempProductDuringCleanUp,MPLS,1,0,0.00,0.00,1,2016-07-14 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 12:28:56.183,GCICOM\astanton
597352,234247,LIFECAPX,1685940,5488,TempProductDuringCleanUp,Managed Router,1,0,172.00,240.00,1,2016-07-14 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 12:28:56.280,GCICOM\astanton
597356,234247,LIFECAPX,1685942,5488,TempProductDuringCleanUp,PSTN (Inc.Voice),1,0,52.79,100.00,1,2016-07-14 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 12:28:56.767,GCICOM\astanton
597357,234247,LIFECAPX,1685942,5488,TempProductDuringCleanUp,MPLS,1,0,0.00,0.00,1,2016-07-14 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 12:28:56.863,GCICOM\astanton
597358,234247,LIFECAPX,1685942,5488,TempProductDuringCleanUp,Managed Router,1,0,237.00,240.00,1,2016-07-14 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 12:28:56.957,GCICOM\astanton
597361,234247,LIFECAPX,1685940,5488,TempProductDuringCleanUp,ADSL2Plus Premium,1,0,0.00,50.00,1,2016-07-14 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 12:31:11.687,GCICOM\astanton
597363,234247,LIFECAPX,1685942,5488,TempProductDuringCleanUp,FTTC 80Mb20Mb,1,0,80.00,80.00,1,2016-07-14 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 12:31:11.883,GCICOM\astanton
606385,234247,LIFECAPX,1708964,5488,TempProductDuringCleanUp,PSTN Install,1,0,52.79,100.00,1,2016-09-29 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 12:05:00.703,GCICOM\bmanager
606387,234247,LIFECAPX,1708964,5488,TempProductDuringCleanUp,ADSL Premium Install,1,0,50.00,50.00,1,2016-09-29 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 12:05:01.083,GCICOM\bmanager
606390,234247,LIFECAPX,1708964,5488,TempProductDuringCleanUp,Hardware Cisco 800,1,0,172.00,240.00,1,2016-09-29 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 12:05:01.653,GCICOM\bmanager
606365,234247,LIFECAPX,1708955,5488,TempProductDuringCleanUp,Managed Router Cisco 800,1,0,172.00,165.00,1,2016-11-01 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 11:51:52.110,GCICOM\bmanager
584721,234247,LIFECAPX,1666719,5488,TempProductDuringCleanUp,ADSL2Plus Premium Install,1,0,0.00,120.00,1,2016-06-30 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:51:28.280,GCICOM\akoottungal
584722,234247,LIFECAPX,1666719,5488,TempProductDuringCleanUp,PSTN Install,1,0,52.79,200.00,1,2016-06-30 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:51:28.513,GCICOM\akoottungal
584723,234247,LIFECAPX,1666719,5488,TempProductDuringCleanUp,Managed Hardware Install,1,0,172.00,195.00,1,2016-06-30 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:51:28.740,GCICOM\akoottungal
596906,234247,LIFECAPX,1684741,5488,TempProductDuringCleanUp,PSTN Install,1,0,57.79,100.00,1,2016-09-13 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:02.147,GCICOM\Ksouthall
596908,234247,LIFECAPX,1684741,5488,TempProductDuringCleanUp,DSL Install,1,0,0.00,50.00,1,2016-09-13 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:02.370,GCICOM\Ksouthall
