NumberRangeMapID,NumberRange,NumberRangeClassification,NumberRangeBespokeFlag,NumberRangeType,NumberRangeSource,NumberRangeStartDate,NumberRangeEndDate
492626,447106,fm1.Telefonica.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492627,447107,fm1.Telefonica.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492628,447340,fm5.Vodafone.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492629,447341,fm5.Vodafone.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492630,447342,fm5.Vodafone.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492631,447400,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492632,447401,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492633,447402,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492634,447403,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492635,447404,fw7.Vodafone.CW.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492636,447405,fw7.Vodafone.CW.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492637,447407,fm5.Vodafone.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492640,447411,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492641,447412,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492642,447413,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492643,447414,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492644,447415,fm3.EE.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492650,447426,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492651,447427,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492652,447428,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492653,447429,fm6.Hutchison.3G.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492654,447430,fm1.Telefonica.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
492655,447431,fm1.Telefonica.UK.Limited,0,GCI_Mobile,4,2016-07-01,NULL
